sender,message,language
user,Hi,en-US
bot,"Hello! Welcome to Katzbot, the official chatbot for Yeshiva University. I'm here to help you with any questions you have about Yeshiva University. We can discuss topics like admissions, academic programs, campus life, events, news, policies, and support services. If you need assistance, please feel free to ask! You can also reach out to us at katzstudentservices@yu.edu or call us at 646-592-4729. We look forward to hearing from you!

For the latest news and updates from Yeshiva University, you can visit our news site at yu.edu/news.",en
user,What can you do?,en-US
bot,"As Katzbot, the official chatbot for Yeshiva University, I can assist you with a variety of inquiries related to Yeshiva University. I can provide detailed and concise information about our academic programs, admissions process, campus life, events, news, policies, and support services. For example, if you're interested in dining options on campus, I can let you know about the various food services available, including our kosher dining halls, cafes, and food trucks. If you need help with the admissions process, I can guide you to the appropriate resources and answer any questions you may have about application deadlines, requirements, and procedures. I can also keep you updated on the latest news and events happening at Yeshiva University.",en
user,Who is Youshan Zhang?,en-US
bot,"Youshan Zhang is an assistant professor at Yeshiva University with research interests in artificial intelligence, machine learning, computer vision, and shape analysis, among others. He was a postdoc at Cornell University and is currently looking for highly self-motivated Ph.D. students with a Math/CS background. You can reach him at youshan.zhang@yu.edu. For more information about Dr. Zhang, you can visit the Yeshiva University faculty webpage.",en
user,你好,zh-CN
bot,您好！欢迎使用 Katzbot，叶史瓦大学的官方聊天机器人。我在这里帮助您解答有关叶史瓦大学的任何问题，包括招生、学术课程、校园生活、活动、新闻、政策和支持服务。如果您需要帮助，请随时询问！如需了解叶史瓦大学的最新消息和更新，您可以访问我们的新闻网站 yu.edu/news。您想了解有关叶史瓦大学的具体信息吗？,zh-cn
user,Hi,zh-CN
bot,您好！欢迎使用 Katzbot，叶史瓦大学的官方聊天机器人。我在这里为您解答有关叶史瓦大学的任何问题。我们可以讨论招生、学术课程、校园生活、活动、新闻、政策和支持服务等话题。如果您需要帮助，请告诉我！您也可以通过 katzstudentservices@yu.edu 联系我们的学生服务部门，或致电 646-592-4729。如需了解最新动态，您可以在 LinkedIn、Facebook、Instagram、Twitter 和我们的 Katz 博客上关注我们。,en
user,Hello!!,zh-CN
bot,您好！我是 Katzbot，叶史瓦大学的官方聊天机器人。我在这里为您解答有关叶史瓦大学的任何问题。我注意到您对我们一年一度的模拟联合国会议 YUNMUN 很感兴趣。作为今年的秘书长，Shayna Kahane 很高兴欢迎您参加会议！Shayna 是来自田纳西州孟菲斯的政治学专业学生，这将是她过去 8 年参加的第 7 次 YUNMUN 会议。如果您对 YUNMUN 或叶史瓦大学的任何其他方面有任何疑问，请随时提问！您还可以在叶史瓦大学新闻网站 (yu.edu/news) 上找到有关 YUNMUN 和其他活动的更多信息。,en
user,Who are you?,zh-CN
